Target,Secondary,Audio
Glass,Plastic,Wood-Plastic2
Metal,Plastic,Glass-Plastic2
Plastic,Plastic,Plastic-Plastic2
Metal,Plastic,Metal-Plastic1
Glass,Plastic,Wood-Plastic1
Plastic,Plastic,Metal-Plastic2
Wood,Plastic,Plastic-Plastic2
Metal,Plastic,Glass-Plastic1
Metal,Plastic,Metal-Plastic2
Glass,Plastic,Glass-Plastic2
Glass,Plastic,Wood-Plastic1
Metal,Plastic,Glass-Plastic2
Plastic,Plastic,Metal-Plastic2
Glass,Plastic,Glass-Plastic1
Metal,Plastic,Glass-Plastic1
Metal,Plastic,Metal-Plastic1
Plastic,Plastic,Plastic-Plastic1
Wood,Plastic,Plastic-Plastic2
Plastic,Plastic,Metal-Plastic1
Glass,Plastic,Glass-Plastic1
Plastic,Plastic,Metal-Plastic2
Glass,Plastic,Glass-Plastic1
Wood,Plastic,Wood-Plastic1
Metal,Plastic,Glass-Plastic1
Glass,Plastic,Glass-Plastic2
Glass,Plastic,Glass-Plastic1
Wood,Plastic,Plastic-Plastic2
Metal,Plastic,Glass-Plastic1
Plastic,Plastic,Plastic-Plastic2
Metal,Plastic,Metal-Plastic2
Metal,Plastic,Glass-Plastic1
Wood,Plastic,Wood-Plastic1
Wood,Plastic,Wood-Plastic2
Glass,Plastic,Wood-Plastic1
Wood,Plastic,Plastic-Plastic2
Plastic,Plastic,Metal-Plastic1
Plastic,Plastic,Metal-Plastic2
Wood,Plastic,Wood-Plastic2
Glass,Plastic,Glass-Plastic1
Wood,Plastic,Plastic-Plastic1
Glass,Plastic,Wood-Plastic1
Plastic,Plastic,Plastic-Plastic1
Glass,Plastic,Wood-Plastic2
Wood,Plastic,Plastic-Plastic1
Wood,Plastic,Wood-Plastic1
Metal,Plastic,Glass-Plastic2
Wood,Plastic,Wood-Plastic1
Wood,Plastic,Wood-Plastic2
Plastic,Plastic,Plastic-Plastic1
Metal,Plastic,Metal-Plastic1
Plastic,Plastic,Metal-Plastic1
Glass,Plastic,Glass-Plastic2
Metal,Plastic,Metal-Plastic2
Plastic,Plastic,Plastic-Plastic2
Wood,Plastic,Plastic-Plastic1
Glass,Plastic,Glass-Plastic2
Plastic,Plastic,Metal-Plastic1
Wood,Plastic,Plastic-Plastic1
Plastic,Plastic,Plastic-Plastic1
Plastic,Plastic,Plastic-Plastic1
Plastic,Plastic,Plastic-Plastic2
Metal,Plastic,Metal-Plastic2
Wood,Plastic,Plastic-Plastic2
Metal,Plastic,Metal-Plastic2
Metal,Plastic,Metal-Plastic1
Glass,Plastic,Wood-Plastic2
Metal,Plastic,Glass-Plastic2
Metal,Plastic,Metal-Plastic1
Wood,Plastic,Wood-Plastic1
Wood,Plastic,Wood-Plastic2
Plastic,Plastic,Metal-Plastic1
Glass,Plastic,Wood-Plastic2
Glass,Plastic,Wood-Plastic1
Glass,Plastic,Wood-Plastic2
Wood,Plastic,Wood-Plastic2
Plastic,Plastic,Plastic-Plastic2
Wood,Plastic,Plastic-Plastic1
Plastic,Plastic,Metal-Plastic2
Glass,Plastic,Glass-Plastic2
Metal,Plastic,Glass-Plastic2
