Target,Secondary,Audio
Glass,Metal,Metal-Metal1
Glass,Metal,Plastic-Metal1
Wood,Metal,Metal-Metal1
Metal,Metal,Metal-Metal3
Wood,Metal,Metal-Metal1
Wood,Metal,Metal-Metal1
Wood,Metal,Wood-Metal1
Plastic,Metal,Wood-Metal3
Metal,Metal,Metal-Metal3
Plastic,Metal,Glass-Metal3
Glass,Metal,Metal-Metal1
Glass,Metal,Plastic-Metal1
Wood,Metal,Metal-Metal1
Plastic,Metal,Metal-Metal3
Wood,Metal,Glass-Metal1
Plastic,Metal,Metal-Metal3
Metal,Metal,Glass-Metal3
Metal,Metal,Metal-Metal3
Glass,Metal,Glass-Metal1
Metal,Metal,Plastic-Metal3
Metal,Metal,Glass-Metal3
Wood,Metal,Glass-Metal1
Plastic,Metal,Glass-Metal3
Plastic,Metal,Metal-Metal3
Plastic,Metal,Plastic-Metal3
Wood,Metal,Wood-Metal1
Metal,Metal,Plastic-Metal3
Metal,Metal,Glass-Metal3
Wood,Metal,Wood-Metal1
Glass,Metal,Glass-Metal1
Plastic,Metal,Plastic-Metal3
Glass,Metal,Plastic-Metal1
Metal,Metal,Wood-Metal3
Glass,Metal,Glass-Metal1
Glass,Metal,Metal-Metal1
Plastic,Metal,Plastic-Metal3
Metal,Metal,Glass-Metal3
Glass,Metal,Metal-Metal1
Plastic,Metal,Wood-Metal3
Wood,Metal,Plastic-Metal1
Plastic,Metal,Plastic-Metal3
Plastic,Metal,Metal-Metal3
Metal,Metal,Wood-Metal3
Metal,Metal,Plastic-Metal3
Plastic,Metal,Glass-Metal3
Wood,Metal,Glass-Metal1
Metal,Metal,Plastic-Metal3
Metal,Metal,Wood-Metal3
Metal,Metal,Glass-Metal3
Glass,Metal,Wood-Metal1
Plastic,Metal,Metal-Metal3
Glass,Metal,Wood-Metal1
Wood,Metal,Wood-Metal1
Plastic,Metal,Wood-Metal3
Plastic,Metal,Glass-Metal3
Metal,Metal,Metal-Metal3
Glass,Metal,Wood-Metal1
Glass,Metal,Glass-Metal1
Plastic,Metal,Plastic-Metal3
Wood,Metal,Glass-Metal1
Glass,Metal,Wood-Metal1
Wood,Metal,Plastic-Metal1
Glass,Metal,Wood-Metal1
Wood,Metal,Wood-Metal1
Plastic,Metal,Wood-Metal3
Glass,Metal,Plastic-Metal1
Wood,Metal,Metal-Metal1
Glass,Metal,Plastic-Metal1
Glass,Metal,Metal-Metal1
Wood,Metal,Plastic-Metal1
Glass,Metal,Glass-Metal1
Metal,Metal,Wood-Metal3
Metal,Metal,Wood-Metal3
Wood,Metal,Plastic-Metal1
Metal,Metal,Plastic-Metal3
Metal,Metal,Metal-Metal3
Wood,Metal,Plastic-Metal1
Wood,Metal,Glass-Metal1
Plastic,Metal,Glass-Metal3
Plastic,Metal,Wood-Metal3
