Target,Secondary,Audio
Plastic,Metal,Plastic-Metal1
Wood,Metal,Wood-Metal2
Metal,Metal,Metal-Metal4
Metal,Metal,Metal-Metal4
Wood,Metal,Wood-Metal1
Glass,Metal,Glass-Metal4
Wood,Metal,Wood-Metal3
Wood,Metal,Wood-Metal2
Wood,Metal,Wood-Metal4
Wood,Metal,Wood-Metal2
Plastic,Metal,Plastic-Metal4
Wood,Metal,Wood-Metal1
Metal,Metal,Metal-Metal4
Wood,Metal,Wood-Metal3
Plastic,Metal,Plastic-Metal3
Plastic,Metal,Plastic-Metal2
Wood,Metal,Wood-Metal2
Plastic,Metal,Plastic-Metal1
Metal,Metal,Metal-Metal3
Glass,Metal,Glass-Metal2
Metal,Metal,Metal-Metal3
Wood,Metal,Wood-Metal4
Plastic,Metal,Plastic-Metal3
Metal,Metal,Metal-Metal3
Glass,Metal,Glass-Metal3
Glass,Metal,Glass-Metal3
Plastic,Metal,Plastic-Metal2
Wood,Metal,Wood-Metal3
Metal,Metal,Metal-Metal2
Plastic,Metal,Plastic-Metal3
Glass,Metal,Glass-Metal2
Wood,Metal,Wood-Metal2
Wood,Metal,Wood-Metal3
Plastic,Metal,Plastic-Metal3
Glass,Metal,Glass-Metal4
Plastic,Metal,Plastic-Metal1
Metal,Metal,Metal-Metal1
Glass,Metal,Glass-Metal1
Plastic,Metal,Plastic-Metal3
Glass,Metal,Glass-Metal3
Plastic,Metal,Plastic-Metal1
Wood,Metal,Wood-Metal4
Wood,Metal,Wood-Metal1
Glass,Metal,Glass-Metal4
Wood,Metal,Wood-Metal1
Plastic,Metal,Plastic-Metal4
Wood,Metal,Wood-Metal1
Wood,Metal,Wood-Metal1
Plastic,Metal,Plastic-Metal4
Plastic,Metal,Plastic-Metal3
Wood,Metal,Wood-Metal2
Metal,Metal,Metal-Metal3
Glass,Metal,Glass-Metal1
Wood,Metal,Wood-Metal4
Metal,Metal,Metal-Metal2
Plastic,Metal,Plastic-Metal4
Plastic,Metal,Plastic-Metal4
Wood,Metal,Wood-Metal4
Glass,Metal,Glass-Metal1
Glass,Metal,Glass-Metal4
Wood,Metal,Wood-Metal1
Metal,Metal,Metal-Metal1
Metal,Metal,Metal-Metal4
Glass,Metal,Glass-Metal2
Wood,Metal,Wood-Metal4
Wood,Metal,Wood-Metal3
Wood,Metal,Wood-Metal4
Glass,Metal,Glass-Metal2
Glass,Metal,Glass-Metal3
Metal,Metal,Metal-Metal2
Plastic,Metal,Plastic-Metal3
Metal,Metal,Metal-Metal3
Plastic,Metal,Plastic-Metal4
Metal,Metal,Metal-Metal1
Metal,Metal,Metal-Metal2
Metal,Metal,Metal-Metal1
Glass,Metal,Glass-Metal1
Plastic,Metal,Plastic-Metal2
Metal,Metal,Metal-Metal1
Metal,Metal,Metal-Metal1
Glass,Metal,Glass-Metal4
Metal,Metal,Metal-Metal4
Metal,Metal,Metal-Metal2
Metal,Metal,Metal-Metal2
Metal,Metal,Metal-Metal4
Metal,Metal,Metal-Metal2
Metal,Metal,Metal-Metal1
Wood,Metal,Wood-Metal3
Metal,Metal,Metal-Metal3
Plastic,Metal,Plastic-Metal4
Plastic,Metal,Plastic-Metal3
Metal,Metal,Metal-Metal3
Metal,Metal,Metal-Metal4
Wood,Metal,Wood-Metal4
Glass,Metal,Glass-Metal2
Plastic,Metal,Plastic-Metal1
Glass,Metal,Glass-Metal1
Wood,Metal,Wood-Metal3
Plastic,Metal,Plastic-Metal2
Metal,Metal,Metal-Metal1
Metal,Metal,Metal-Metal3
Wood,Metal,Wood-Metal2
Glass,Metal,Glass-Metal3
Plastic,Metal,Plastic-Metal1
Glass,Metal,Glass-Metal2
Metal,Metal,Metal-Metal4
Wood,Metal,Wood-Metal2
Glass,Metal,Glass-Metal4
Glass,Metal,Glass-Metal4
Glass,Metal,Glass-Metal1
Wood,Metal,Wood-Metal3
Metal,Metal,Metal-Metal4
Glass,Metal,Glass-Metal4
Metal,Metal,Metal-Metal1
Metal,Metal,Metal-Metal3
Plastic,Metal,Plastic-Metal2
Metal,Metal,Metal-Metal1
Glass,Metal,Glass-Metal4
Plastic,Metal,Plastic-Metal4
Glass,Metal,Glass-Metal2
Metal,Metal,Metal-Metal2
Glass,Metal,Glass-Metal3
Metal,Metal,Metal-Metal2
Glass,Metal,Glass-Metal4
Plastic,Metal,Plastic-Metal1
Plastic,Metal,Plastic-Metal3
Plastic,Metal,Plastic-Metal4
Plastic,Metal,Plastic-Metal3
Wood,Metal,Wood-Metal2
Glass,Metal,Glass-Metal1
Metal,Metal,Metal-Metal2
Plastic,Metal,Plastic-Metal2
Glass,Metal,Glass-Metal1
Plastic,Metal,Plastic-Metal2
Glass,Metal,Glass-Metal3
Glass,Metal,Glass-Metal3
Glass,Metal,Glass-Metal2
Glass,Metal,Glass-Metal3
Wood,Metal,Wood-Metal3
Glass,Metal,Glass-Metal2
